,name,lng,lat,oficina_principal,totalOffices,category_code,number_of_employees,founded_year,total_money_raised,ciudad
94,introNetworks,-119.641821,34.42071,"{'type': 'Point', 'coordinates': [-119.641821, 34.42071]}",1,web,11,2003.0,2700000.0,Montecito
95,Wallhogs,-79.462703,40.30305,"{'type': 'Point', 'coordinates': [-79.462703, 40.30305]}",1,public_relations,52,2006.0,0.0,Greensburg
96,Respectance,-122.321836,37.55909,"{'type': 'Point', 'coordinates': [-122.321836, 37.55909]}",1,web,15,2006.0,1750000.0,San Mateo
97,eBuddy,4.8919457,52.3640933,"{'type': 'Point', 'coordinates': [4.8919457, 52.3640933]}",3,messaging,90,2003.0,12977749.999604827,Amsterdam
98,Grockit,-122.419204,37.775196,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",1,social,25,2006.0,44700000.0,San Francisco
99,Kiptronic,-122.402349,37.792394,"{'type': 'Point', 'coordinates': [-122.402349, 37.792394]}",1,advertising,20,2005.0,7300000.0,San Francisco
100,FeVote,-122.417928,37.779392,"{'type': 'Point', 'coordinates': [-122.417928, 37.779392]}",1,web,1,2007.0,0.0,San Francisco
101,JumpBox,-111.944967,33.429864,"{'type': 'Point', 'coordinates': [-111.944967, 33.429864]}",1,software,5,2006.0,0.0,Phoenix
102,Vuze,-122.2262606,37.4858654,"{'type': 'Point', 'coordinates': [-122.2262606, 37.4858654]}",1,games_video,20,2005.0,34000000.0,San Mateo
103,LongJump,-121.992132,37.384651,"{'type': 'Point', 'coordinates': [-121.992132, 37.384651]}",1,enterprise,30,1999.0,0.0,Sunnyvale
104,Wishpot,-122.347533,47.620716,"{'type': 'Point', 'coordinates': [-122.347533, 47.620716]}",1,ecommerce,10,2006.0,1300000.0,Seattle
105,Clipmarks,-73.985506,40.757929,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",1,photo_video,10,2003.0,0.0,New York
106,PayScale,-122.3276962,47.5999337,"{'type': 'Point', 'coordinates': [-122.3276962, 47.5999337]}",1,software,130,1999.0,31100000.0,Seattle
107,Boonex,150.981801,-33.722577,"{'type': 'Point', 'coordinates': [150.981801, -33.722577]}",1,software,16,2000.0,0.0,Sydney
108,IntenseDebate,-105.276843,40.010492,"{'type': 'Point', 'coordinates': [-105.276843, 40.010492]}",1,web,4,2006.0,515000.0,Boulder
109,Sony,-95.712891,37.09024,"{'type': 'Point', 'coordinates': [-95.712891, 37.09024]}",1,hardware,180500,1946.0,0.0,San Diego
110,Rebtel,18.1582777,59.3167843,"{'type': 'Point', 'coordinates': [18.1582777, 59.3167843]}",1,mobile,75,2006.0,20000000.0,Nacka Strand
111,Adobe Systems,-121.877636,37.320052,"{'type': 'Point', 'coordinates': [-121.877636, 37.320052]}",1,software,7173,1982.0,0.0,San Jose
112,Buxfer,-122.073003,37.400465,"{'type': 'Point', 'coordinates': [-122.073003, 37.400465]}",1,web,4,2007.0,315000.0,Mountain View
113,boo-box,-46.679287,-23.558584,"{'type': 'Point', 'coordinates': [-46.679287, -23.558584]}",1,advertising,50,2007.0,300000.0,Sao Paulo
114,BuddyTV,-122.356756,47.61968,"{'type': 'Point', 'coordinates': [-122.356756, 47.61968]}",1,games_video,20,2005.0,10600000.0,Seattle
115,Hightail,-121.935688,37.288974,"{'type': 'Point', 'coordinates': [-121.935688, 37.288974]}",1,network_hosting,200,2004.0,82700000.0,Campbell
116,MeeMix,34.7595,32.0554,"{'type': 'Point', 'coordinates': [34.7595, 32.0554]}",1,web,9,2006.0,0.0,Tel Aviv
117,The Walt Disney Company,-118.324987,34.156802,"{'type': 'Point', 'coordinates': [-118.324987, 34.156802]}",1,games_video,25000,1923.0,0.0,Burbank
118,PayPal,-121.927696,37.294465,"{'type': 'Point', 'coordinates': [-121.927696, 37.294465]}",1,finance,300000,1998.0,197000000.0,San Jose
119,IMVU,-122.0727749,37.3927975,"{'type': 'Point', 'coordinates': [-122.0727749, 37.3927975]}",1,web,150,2004.0,29000000.0,Mountain View
120,AOL,-73.9919311,40.7311317,"{'type': 'Point', 'coordinates': [-73.9919311, 40.7311317]}",1,web,8000,1985.0,1000000000.0,New York
121,Userplane,-118.495566,34.01676,"{'type': 'Point', 'coordinates': [-118.495566, 34.01676]}",1,enterprise,10,2001.0,0.0,Santa Monica
122,Outdoorzy,-86.463026,37.018244,"{'type': 'Point', 'coordinates': [-86.463026, 37.018244]}",1,network_hosting,2,2006.0,0.0,Bowling Green
123,Scrybe,-74.761403,40.270666,"{'type': 'Point', 'coordinates': [-74.761403, 40.270666]}",1,enterprise,20,2007.0,1310000.0,San Francisco
124,Aniboom,34.851612,31.046051,"{'type': 'Point', 'coordinates': [34.851612, 31.046051]}",1,games_video,25,2006.0,14500000.0,
125,Webkinz,-79.549577,43.76969,"{'type': 'Point', 'coordinates': [-79.549577, 43.76969]}",1,web,8657,2005.0,0.0,Woodbridge
126,Echo,-122.1879633,38.0729365,"{'type': 'Point', 'coordinates': [-122.1879633, 38.0729365]}",1,enterprise,50,2007.0,4800000.0,San francisco
127,Omnifuse,-117.928351,33.610083,"{'type': 'Point', 'coordinates': [-117.928351, 33.610083]}",1,web,4,,0.0,Newport Beach
128,SelectMinds,-73.990004,40.740251,"{'type': 'Point', 'coordinates': [-73.990004, 40.740251]}",1,network_hosting,55,2000.0,5500000.0,New York
129,MindTouch,-117.167831,32.720656,"{'type': 'Point', 'coordinates': [-117.167831, 32.720656]}",1,enterprise,0,2004.0,0.0,San Diego
130,Techstars,-105.276843,40.010492,"{'type': 'Point', 'coordinates': [-105.276843, 40.010492]}",1,finance,30,2006.0,34000000.0,Boulder
131,Social Platform,-118.327071,34.101617,"{'type': 'Point', 'coordinates': [-118.327071, 34.101617]}",1,web,12,,0.0,Los Angeles
132,Flock,-122.228843,37.491356,"{'type': 'Point', 'coordinates': [-122.228843, 37.491356]}",1,web,40,2005.0,28300000.0,Menlo Park
133,webcrossing,-122.399646,37.794649,"{'type': 'Point', 'coordinates': [-122.399646, 37.794649]}",1,web,10,,0.0,San Francisco
134,Sportingo,-96.76492,17.08881,"{'type': 'Point', 'coordinates': [-96.76492, 17.08881]}",1,web,0,2006.0,3200000.0,
135,Curverider,-1.197534,51.785428,"{'type': 'Point', 'coordinates': [-1.197534, 51.785428]}",1,network_hosting,5,2005.0,377046.4417138806,London
136,Negonation,-3.74922,40.463667,"{'type': 'Point', 'coordinates': [-3.74922, 40.463667]}",1,web,3,,0.0,
137,Akamai Technologies,-71.08907,42.364059,"{'type': 'Point', 'coordinates': [-71.08907, 42.364059]}",1,enterprise,1000,1998.0,0.0,Cambridge
138,Weebly,-122.400729,37.795555,"{'type': 'Point', 'coordinates': [-122.400729, 37.795555]}",1,web,70,2006.0,670000.0,San Francisco
139,RealEditor,-77.236968,38.805114,"{'type': 'Point', 'coordinates': [-77.236968, 38.805114]}",1,web,2,,0.0,
140,Six Apart,139.7326754,35.6725213,"{'type': 'Point', 'coordinates': [139.7326754, 35.6725213]}",1,enterprise,50,2001.0,22600000.0,Tokyo
141,BitTorrent,-122.394668,37.790998,"{'type': 'Point', 'coordinates': [-122.394668, 37.790998]}",1,web,80,2004.0,40800000.0,San Francisco
142,Kongregate,-122.401245,37.786942,"{'type': 'Point', 'coordinates': [-122.401245, 37.786942]}",1,games_video,20,2006.0,19000000.0,San Francisco
143,Inneractive,-122.3229235,37.5646055,"{'type': 'Point', 'coordinates': [-122.3229235, 37.5646055]}",1,advertising,0,2007.0,8500000.0,San Mateo
144,Socialthing,-105.2762236,40.0186731,"{'type': 'Point', 'coordinates': [-105.2762236, 40.0186731]}",1,network_hosting,5,2007.0,415000.0,Boulder
145,Filtrbox,-105.276843,40.010492,"{'type': 'Point', 'coordinates': [-105.276843, 40.010492]}",1,web,14,2007.0,1920000.0,Palo Alto
146,Cloudant,-71.05781,42.35892,"{'type': 'Point', 'coordinates': [-71.05781, 42.35892]}",1,enterprise,70,2008.0,18300000.0,Boston
147,Zivity,-122.397593,37.789488,"{'type': 'Point', 'coordinates': [-122.397593, 37.789488]}",1,network_hosting,16,2007.0,8000000.0,San Francisco
148,BlueLithium,-121.948399,37.32052,"{'type': 'Point', 'coordinates': [-121.948399, 37.32052]}",1,advertising,135,2004.0,11500000.0,San Jose
149,Doostang,-122.145783,37.427235,"{'type': 'Point', 'coordinates': [-122.145783, 37.427235]}",1,web,10,2005.0,5750000.0,Palo Alto
150,ZoomInfo,-71.207055,42.38532,"{'type': 'Point', 'coordinates': [-71.207055, 42.38532]}",1,search,800,2000.0,7000000.0,Waltham
151,Sun Microsystems,-121.955463,37.394791,"{'type': 'Point', 'coordinates': [-121.955463, 37.394791]}",1,enterprise,33350,1982.0,0.0,Santa Clara
152,MySpace,-118.372953,34.076061,"{'type': 'Point', 'coordinates': [-118.372953, 34.076061]}",1,network_hosting,800,2003.0,0.0,Beverly Hills
153,Docstoc,-118.495025,34.018275,"{'type': 'Point', 'coordinates': [-118.495025, 34.018275]}",1,web,40,2007.0,4000000.0,Santa Monica
154,ZYB,12.541484,55.699123,"{'type': 'Point', 'coordinates': [12.541484, 55.699123]}",1,mobile,25,,3385499.9998969114,Copenhagen
155,NewsGator,-104.988123,39.755092,"{'type': 'Point', 'coordinates': [-104.988123, 39.755092]}",1,enterprise,90,2004.0,39300000.0,Denver
156,Friendster,101.686855,3.139003,"{'type': 'Point', 'coordinates': [101.686855, 3.139003]}",1,web,70,2001.0,48500000.0,Kuala Lumpur
157,Greystripe,-122.39323,37.710677,"{'type': 'Point', 'coordinates': [-122.39323, 37.710677]}",1,advertising,90,2005.0,17600000.0,San Francisco
158,TechTarget,-95.712891,37.09024,"{'type': 'Point', 'coordinates': [-95.712891, 37.09024]}",1,enterprise,600,1999.0,0.0,Newton
159,dpreview,-3.435973,55.378051,"{'type': 'Point', 'coordinates': [-3.435973, 55.378051]}",1,web,13,1998.0,0.0,Seattle
160,Trulia,-122.406676,37.766909,"{'type': 'Point', 'coordinates': [-122.406676, 37.766909]}",1,search,500,2004.0,255000000.0,San Francisco
161,TubeMogul,-122.286493,37.836957,"{'type': 'Point', 'coordinates': [-122.286493, 37.836957]}",1,advertising,230,2006.0,53200000.0,Emeryville
162,Sportsline,-95.712891,37.09024,"{'type': 'Point', 'coordinates': [-95.712891, 37.09024]}",1,web,264,1994.0,0.0,Fort Lauderdale
163,OpenTable,-122.405265,37.785647,"{'type': 'Point', 'coordinates': [-122.405265, 37.785647]}",1,web,550,1998.0,48000000.0,San Francisco
164,Seedcamp,-0.1418973,51.5108803,"{'type': 'Point', 'coordinates': [-0.1418973, 51.5108803]}",1,finance,4,2007.0,5642499.999828186,London
165,Espotting,-95.712891,37.09024,"{'type': 'Point', 'coordinates': [-95.712891, 37.09024]}",1,advertising,250,2000.0,0.0,
166,MocoSpace,-71.058768,42.350274,"{'type': 'Point', 'coordinates': [-71.058768, 42.350274]}",1,games_video,25,2005.0,10500000.0,Boston
167,LocaModa,-71.104329,42.358822,"{'type': 'Point', 'coordinates': [-71.104329, 42.358822]}",1,advertising,0,2007.0,7900000.0,Cambridge
168,Adknowledge,-94.597896,39.044694,"{'type': 'Point', 'coordinates': [-94.597896, 39.044694]}",9,advertising,300,2004.0,248000000.0,Kansas City
169,YouBeQB,-122.151158,47.597965,"{'type': 'Point', 'coordinates': [-122.151158, 47.597965]}",1,games_video,8,2008.0,0.0,Bellevue
170,airG,-75.066111,3.046111,"{'type': 'Point', 'coordinates': [-75.066111, 3.046111]}",1,search,180,2000.0,0.0,Vancouver
171,ChannelAdvisor,-78.815635,35.854483,"{'type': 'Point', 'coordinates': [-78.815635, 35.854483]}",1,search,300,2001.0,75000000.0,Morrisville
172,Fotolog,-73.985506,40.757929,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",1,network_hosting,40,2002.0,4000000.0,New York
173,Alloy,-95.712891,37.09024,"{'type': 'Point', 'coordinates': [-95.712891, 37.09024]}",1,news,0,,127000000.0,
174,Thumbplay,-73.997395,40.725435,"{'type': 'Point', 'coordinates': [-73.997395, 40.725435]}",1,music,70,2004.0,41500000.0,New York
175,Tutor,-74.004792,40.707921,"{'type': 'Point', 'coordinates': [-74.004792, 40.707921]}",1,web,55,1998.0,13500000.0,New York
176,MicroPlace,-122.419204,37.775196,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",1,web,15,2007.0,0.0,San Francisco
177,EyeJot,-122.3276962,47.5999337,"{'type': 'Point', 'coordinates': [-122.3276962, 47.5999337]}",1,web,5,2007.0,1150000.0,Seattle
178,Contrastream,-79.348037,43.799511,"{'type': 'Point', 'coordinates': [-79.348037, 43.799511]}",1,games_video,1,2007.0,0.0,Toronto
179,Daylife,-73.886452,40.643438,"{'type': 'Point', 'coordinates': [-73.886452, 40.643438]}",1,enterprise,25,2006.0,12300000.0,New York
180,SayNow,-122.143915,37.42746,"{'type': 'Point', 'coordinates': [-122.143915, 37.42746]}",1,mobile,20,2005.0,7500000.0,Palo Alto
181,Crunchyroll,-122.393229,37.781265,"{'type': 'Point', 'coordinates': [-122.393229, 37.781265]}",1,games_video,50,2008.0,4800000.0,San Francisco
182,Behance,-74.004592,40.74406,"{'type': 'Point', 'coordinates': [-74.004592, 40.74406]}",1,web,30,2006.0,6500000.0,New York
183,Yugma,-93.4094629,44.865243,"{'type': 'Point', 'coordinates': [-93.4094629, 44.865243]}",1,games_video,38,2003.0,0.0,Eden Prairie
184,ThemBid,-117.572967,34.099253,"{'type': 'Point', 'coordinates': [-117.572967, 34.099253]}",1,ecommerce,7,2007.0,0.0,Rancho Cucamonga
185,PixSense,-121.973228,37.387114,"{'type': 'Point', 'coordinates': [-121.973228, 37.387114]}",1,mobile,35,2003.0,7400000.0,Santa Clara
186,imeem,-122.391236,37.779624,"{'type': 'Point', 'coordinates': [-122.391236, 37.779624]}",1,music,55,2003.0,24800000.0,San Francisco
187,hulu,-118.456806,34.031276,"{'type': 'Point', 'coordinates': [-118.456806, 34.031276]}",1,games_video,153,2007.0,100000000.0,Los Angeles
188,ContactOffice,4.400604,50.796645,"{'type': 'Point', 'coordinates': [4.400604, 50.796645]}",1,web,10,2000.0,0.0,Brussel
189,FAROO,-0.1065551,51.5195795,"{'type': 'Point', 'coordinates': [-0.1065551, 51.5195795]}",1,search,5,2007.0,0.0,London
190,Attributor,-122.228595,37.453687,"{'type': 'Point', 'coordinates': [-122.228595, 37.453687]}",1,software,0,2005.0,25200000.0,San Mateo
191,OrganizedWisdom,-73.981709,40.775537,"{'type': 'Point', 'coordinates': [-73.981709, 40.775537]}",1,other,18,2007.0,2800000.0,New York
192,LineUpNewYork,-73.986771,40.753202,"{'type': 'Point', 'coordinates': [-73.986771, 40.753202]}",1,web,0,2007.0,0.0,New York
193,MediaPops,-122.333523,47.611012,"{'type': 'Point', 'coordinates': [-122.333523, 47.611012]}",1,games_video,0,2007.0,0.0,Seattle
194,PeekYou,-73.985506,40.757929,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",1,search,20,2012.0,1830000.0,New York
195,Mozy,-111.777531,40.357978,"{'type': 'Point', 'coordinates': [-111.777531, 40.357978]}",1,public_relations,26,2005.0,1900000.0,Pleasant Grove
196,TripIt,-122.402021,37.764169,"{'type': 'Point', 'coordinates': [-122.402021, 37.764169]}",1,travel,63,2006.0,13100000.0,San Francisco
197,Mixx,-79.420926,38.003376,"{'type': 'Point', 'coordinates': [-79.420926, 38.003376]}",1,web,11,2007.0,3500000.0,McLean
198,Kerpoof,-105.38018,40.048078,"{'type': 'Point', 'coordinates': [-105.38018, 40.048078]}",1,web,0,2006.0,0.0,Boulder
199,app2you,-117.274609,32.847521,"{'type': 'Point', 'coordinates': [-117.274609, 32.847521]}",1,web,4,2006.0,169000.0,La Jolla
200,GENWI,-111.9035,33.8171,"{'type': 'Point', 'coordinates': [-111.9035, 33.8171]}",1,mobile,25,2010.0,7100000.0,Los Altos
201,HylioSoft,6.182658,49.1004,"{'type': 'Point', 'coordinates': [6.182658, 49.1004]}",1,web,3,2004.0,50000.0,METZ
202,YourStreet,-122.421341,37.793742,"{'type': 'Point', 'coordinates': [-122.421341, 37.793742]}",1,web,6,2006.0,250000.0,San Francisco
203,SmartHippo,-73.566634,45.506643,"{'type': 'Point', 'coordinates': [-73.566634, 45.506643]}",1,ecommerce,10,2005.0,0.0,Montreal
204,Snoozester,-77.123153,39.052614,"{'type': 'Point', 'coordinates': [-77.123153, 39.052614]}",1,mobile,0,2005.0,0.0,Rockville
205,GlobalMotion,-122.161247,37.445714,"{'type': 'Point', 'coordinates': [-122.161247, 37.445714]}",1,travel,0,2006.0,1000000.0,Palo Alto
206,Vidoop,-122.675448,45.5241278,"{'type': 'Point', 'coordinates': [-122.675448, 45.5241278]}",1,software,30,2006.0,0.0,Portland
207,FlowPlay,-122.335943,47.6015315,"{'type': 'Point', 'coordinates': [-122.335943, 47.6015315]}",1,games_video,30,2006.0,3970000.0,Seattle
208,Feedjit,-122.084356,47.585114,"{'type': 'Point', 'coordinates': [-122.084356, 47.585114]}",1,web,2,2007.0,450000.0,Sammamish
209,IMSafer,-95.536,30.182107,"{'type': 'Point', 'coordinates': [-95.536, 30.182107]}",1,web,5,2006.0,0.0,The Woodlands
210,Viewpoints,-87.63406,41.890376,"{'type': 'Point', 'coordinates': [-87.63406, 41.890376]}",1,web,15,2006.0,5000000.0,Chicago
211,ThisNext,-118.493592,34.01533,"{'type': 'Point', 'coordinates': [-118.493592, 34.01533]}",1,social,0,2005.0,8700000.0,Santa Monica
212,OneRiot,-105.28131,40.01621,"{'type': 'Point', 'coordinates': [-105.28131, 40.01621]}",1,advertising,32,2006.0,27300000.0,Boulder
213,UpDown,-71.118487,42.375392,"{'type': 'Point', 'coordinates': [-71.118487, 42.375392]}",1,web,5,2007.0,1750000.0,Cambridge
214,Nokia,24.827224,60.170514,"{'type': 'Point', 'coordinates': [24.827224, 60.170514]}",1,mobile,125000,1865.0,0.0,
215,Webjam,-0.136174,51.519819,"{'type': 'Point', 'coordinates': [-0.136174, 51.519819]}",1,enterprise,18,2006.0,2000000.0,London
216,mig33,-122.343679,37.580304,"{'type': 'Point', 'coordinates': [-122.343679, 37.580304]}",1,games_video,100,2005.0,32400000.0,Singapore
217,GamerDNA,-71.118487,42.375392,"{'type': 'Point', 'coordinates': [-71.118487, 42.375392]}",1,web,13,2006.0,3000000.0,Cambridge
218,Swamble,-115.089514,36.076705,"{'type': 'Point', 'coordinates': [-115.089514, 36.076705]}",1,web,0,2007.0,0.0,
219,Data360,-122.306571,37.799549,"{'type': 'Point', 'coordinates': [-122.306571, 37.799549]}",1,web,0,2006.0,0.0,San Francisco
220,SpeedDate,-122.285714,37.557637,"{'type': 'Point', 'coordinates': [-122.285714, 37.557637]}",1,web,0,2007.0,11600000.0,San Mateo
221,Houseglue,-121.983814,37.222604,"{'type': 'Point', 'coordinates': [-121.983814, 37.222604]}",1,web,5,2007.0,0.0,Los Gatos
222,Pakt,-118.441219,33.945553,"{'type': 'Point', 'coordinates': [-118.441219, 33.945553]}",1,web,0,2006.0,0.0,
223,Metaplace,-117.077311,33.020832,"{'type': 'Point', 'coordinates': [-117.077311, 33.020832]}",1,games_video,12,2006.0,9400000.0,Solana Beach
224,Spoke,-122.302262,37.559287,"{'type': 'Point', 'coordinates': [-122.302262, 37.559287]}",1,software,8,2002.0,25100000.0,San Mateo
225,Realius,-122.26999,37.887864,"{'type': 'Point', 'coordinates': [-122.26999, 37.887864]}",1,games_video,3,2006.0,500000.0,Berkeley
226,Xobni,-122.404052,37.789634,"{'type': 'Point', 'coordinates': [-122.404052, 37.789634]}",1,software,0,2006.0,41800000.0,San Francisco
227,Fixya,-122.323895,37.566879,"{'type': 'Point', 'coordinates': [-122.323895, 37.566879]}",1,web,30,2013.0,8000000.0,San Mateo
228,Tripwiser,-122.012475,37.384239,"{'type': 'Point', 'coordinates': [-122.012475, 37.384239]}",1,web,0,2006.0,0.0,Sunnyvale
229,Wirenode,14.489674,50.055049,"{'type': 'Point', 'coordinates': [14.489674, 50.055049]}",1,mobile,0,2005.0,0.0,Prague 10
230,Syntraxis,-96.9403,32.860831,"{'type': 'Point', 'coordinates': [-96.9403, 32.860831]}",1,web,6,2006.0,0.0,Irving
231,Styky,-75.194657,39.956259,"{'type': 'Point', 'coordinates': [-75.194657, 39.956259]}",1,mobile,3,2003.0,100000.0,Philadelphia
232,Empressr,-73.993127,40.740337,"{'type': 'Point', 'coordinates': [-73.993127, 40.740337]}",1,public_relations,35,2006.0,0.0,New York
233,GroupSwim,-122.393041,37.779558,"{'type': 'Point', 'coordinates': [-122.393041, 37.779558]}",1,software,9,2005.0,0.0,San Francisco
234,Mozilla,-122.08744,37.418491,"{'type': 'Point', 'coordinates': [-122.08744, 37.418491]}",1,web,800,1998.0,2300000.0,Mountain View
235,EkkoTV,-122.036849,37.369195,"{'type': 'Point', 'coordinates': [-122.036849, 37.369195]}",1,games_video,0,2006.0,0.0,Sunnyvale
